name,index,patent_count_2012,patent_count_2013,patent_count_2014,patent_count_2015,patent_count_2016
University of Texas Health Science Center at Houston,,,,,0.0,
U.S. Geological Survey,,,,,0.0,
Vienna University of Technology,,,,,0.0,
World Health Organization,,,,,0.0,
Universitat Politecnica de Catalunya,,,,,45.0,
Hanyang University,,,,,227.0,
University of Newcastle,,,,,38.0,
Queen's University Kingston,,,,,0.0,
Macquarie University,,,,,141.0,
UTS University of Technology Sydney,,,,,0.0,
University of Ljubljana,,,,,3.0,
University of Texas at Dallas,,,,,0.0,
Universita Cattolica del Sacro Cuore,,,,,1.0,
Vrije Universiteit Brussel,,,,,49.0,
Universitat Pompeu Fabra,,,,,6.0,
Lancaster University,,,,,16.0,
Chalmers University of Technology,,,,,0.0,
University Medical Center Hamburg-Eppendorf,,,,,0.0,
National Institute of Advanced Industrial Science and Technology,,,,,0.0,
University of Coimbra,,,,,0.0,
Umea University,,,,,0.0,
Universidade Federal do Rio Grande do Sul,,,,,12.0,
Louisiana State University,,,,,83.0,
Nankai University,,,,,17.0,
NOAA,,,,,0.0,
Fred Hutchinson Cancer Research Center,,,,,68.0,
Hungarian Academy of Sciences,,,,,6.0,
Beijing Institute of Technology,,,,,19.0,
Wake Forest University,,,,,132.0,
University of Tehran,,,,,0.0,
University of Electronic Science and Technology of China,,,,,32.0,
Universite de Versailles,,,,,14.0,
Hannover Medical School,,,,,0.0,
University of Catania,,,,,0.0,
University of Bari,,,,,0.0,
ICREA,,,,,11.0,
University of the Basque Country,,,,,0.0,
University of Sussex,,,,,9.0,
University of Wollongong,,,,,9.0,
National Cheng Kung University,,,,,141.0,
Thomas Jefferson University,,,,,42.0,
University of Liege,,,,,0.0,
University of Delaware,,,,,21.0,
IBM,,,,,608.0,
NASA Goddard Space Flight Center,,,,,0.0,
University of Missouri,,,,,121.0,
Universite de Rennes 1,,,,,47.0,
Kyung Hee University,,,,,126.0,
Capital University of Medical Sciences,,,,,0.0,
"Jet Propulsion Laboratory, California Institute of Technology",,,,,0.0,
University of Houston,,,,,136.0,
University of Turku,,,,,0.0,
CERN,,,,,14.0,
Centros de Investigacion Biomedica en Red - CIBER,,,,,0.0,
Cincinnati Children's Hospital Medical Center,,,,,5.0,
Medical University of South Carolina,,,,,2.0,
Weizmann Institute of Science,,,,,12.0,
Research Centre Julich (FZJ),,,,,0.0,
University of Milan - Bicocca,,,,,0.0,
University of Tsukuba,,,,,54.0,
Washington State University Pullman,,,,,0.0,
Freie Universitat Berlin,,,,,13.0,
Jagiellonian University,,,,,1.0,
University of Victoria BC,,,,,0.0,
Politecnico di Torino,,,,,19.0,
Universidad de Zaragoza,,,,,18.0,
Instituto de Salud Carlos III,,,,,5.0,
Ecole Polytechnique,,,,,214.0,
Universidade Federal de Minas Gerais,,,,,23.0,
Northwestern Polytechnical University Xian,,,,,0.0,
Universidad de Buenos Aires,,,,,0.0,
Beijing Normal University,,,,,5.0,
University of Massachusetts Medical School,,,,,23.0,
National Tsing Hua University,,,,,255.0,
Cedars-Sinai Medical Center,,,,,84.0,
University of Trento,,,,,0.0,
Department of Veterans Affairs,,,,,128.0,
German Aerospace Center (DLR),,,,,0.0,
University of East Anglia,,,,,8.0,
Drexel University,,,,,163.0,
National Institute of Standards and Technology,,,,,41.0,
Universidad Politecnica de Valencia,,,,,14.0,
Graduate University of Chinese Academy of Sciences,,,,,0.0,
Keio University,,,,,74.0,
Technische Universitat Darmstadt,,,,,10.0,
Royal Melbourne Institute of Technology University,,,,,0.0,
Hunan University,,,,,4.0,
Universita di Salerno,,,,,0.0,
Pontificia Universidad Catolica de Chile,,,,,27.0,
Universita di Palermo,,,,,0.0,
University of Oulu,,,,,0.0,
University of Ulsan,,,,,30.0,
China University of Geosciences,,,,,2.0,
King Abdullah University of Science and Technology,,,,,111.0,
Universita Vita-Salute San Raffaele,,,,,0.0,
Flinders University,,,,,6.0,
George Mason University,,,,,7.0,
University of KwaZulu-Natal,,,,,8.0,
"Rutgers - The State University of New Jersey, Newark",,,,,0.0,
Universitat Stuttgart,,,,,30.0,
University of South Australia,,,,,43.0,
University of St Andrews,,,,,40.0,
Universite de Lorraine,,,,,57.0,
Universidad de Sevilla,0.0,,,,48.0,
University of Stellenbosch,1.0,,,,0.0,
Universiti Teknologi Malaysia,2.0,,,,0.0,
James Cook University Queensland,3.0,,,,0.0,
University of Dundee,4.0,,,,51.0,
Lanzhou University,5.0,,,,2.0,
Brookhaven National Laboratory,6.0,,,,2.0,
Universidad Politecnica de Madrid,7.0,,,,33.0,
University of Science and Technology Beijing,8.0,,,,0.0,
Lawrence Livermore National Laboratory,9.0,,,,2.0,
GlaxoSmithKline,10.0,,,,405.0,
London School of Economics,11.0,,,,0.0,
East China University of Science and Technology,12.0,,,,41.0,
University of Saskatchewan,13.0,,,,30.0,
Justus-Liebig-University,14.0,,,,0.0,
University of Central Florida,0.0,,,,152.0,
University of Tasmania,1.0,,,,5.0,
Ben-Gurion University of the Negev,2.0,,,,60.0,
University of Texas Health Science Center at San Antonio,3.0,,,,0.0,
University College Cork,4.0,,,,40.0,
Saarland University,5.0,,,,0.0,
University of Zagreb,6.0,,,,2.0,
University of Eastern Finland,7.0,,,,1.0,
Pohang University of Science and Technology,8.0,,,,5.0,
York University Toronto,9.0,,,,0.0,
Innsbruck Medical University,10.0,,,,0.0,
Pacific Northwest National Laboratory,11.0,,,,0.0,
German Research Center for Environmental Health,12.0,,,,0.0,
China Agricultural University,13.0,,,,11.0,
University of Louisville,14.0,,,,75.0,
Universidade Nova de Lisboa,0.0,,,,7.0,
Universidad de Chile,1.0,,,,18.0,
University of Warsaw,2.0,,,,0.0,
Universidad de Oviedo,3.0,,,,6.0,
University of Surrey,4.0,,,,30.0,
Peking Union Medical College,5.0,,,,5.0,
University of Minho,6.0,,,,0.0,
Universidad de Santiago de Compostela,7.0,,,,2.0,
Medical College of Wisconsin,8.0,,,,25.0,
European Molecular Biology Laboratory,9.0,,,,38.0,
Universite de Lille 2,10.0,,,,12.0,
University of Regensburg,11.0,,,,2.0,
Kyungpook National University,12.0,,,,116.0,
Institut Gustave Roussy,13.0,,,,31.0,
Philipps-Universitat Marburg,14.0,,,,8.0,
RAS - Siberian Branch,0.0,,,,0.0,
Swedish University of Agricultural Sciences,1.0,,,,0.0,
Pusan National University,2.0,,,,63.0,
Cairo University,3.0,,,,0.0,
University of Bath,4.0,,,,20.0,
Scripps Research Institute,5.0,,,,160.0,
University of Modena and Reggio Emilia,6.0,,,,0.0,
Universidade Federal de Sao Paulo,7.0,,,,0.0,
Wellcome Trust Sanger Institute,8.0,,,,0.0,
University of Guelph,9.0,,,,19.0,
University of Strathclyde,10.0,,,,15.0,
Chang Gung University,11.0,,,,25.0,
Florida International University,12.0,,,,22.0,
University of Reading,13.0,,,,4.0,
Kaiser Permanente,14.0,,,,0.0,
Western Sydney University,0.0,,,,0.0,
Pfizer,1.0,,,,333.0,
University of Mississippi,2.0,,,,22.0,
Universitat Dortmund,0.0,,,,15.0,
West Virginia University,1.0,,,,0.0,
Indian Institute of Science Bangalore,2.0,,,,0.0,
La Trobe University,3.0,,,,3.0,
University of Innsbruck,4.0,,,,1.0,
Kobe University,5.0,,,,43.0,
Nanjing University of Aeronautics and Astronautics,6.0,,,,0.0,
University of Trieste,7.0,,,,0.0,
Universite Paris-Est,8.0,,,,23.0,
Shanghai University,9.0,,,,12.0,
Addenbrooke's Hospital,10.0,,,,0.0,
Universiti Putra Malaysia,11.0,,,,30.0,
University of Bremen,12.0,,,,2.0,
University of Missouri at Kansas City,13.0,,,,0.0,
Kansas State University,14.0,,,,34.0,
Loughborough University,0.0,,,,14.0,
Oklahoma State University,1.0,,,,18.0,
Second University of Naples,2.0,,,,0.0,
Swansea University,3.0,,,,23.0,
University of Parma,4.0,,,,2.0,
Chonnam National University,0.0,,,,45.0,
Xidian University,1.0,,,,4.0,
"National University of Ireland, Galway",2.0,,,,26.0,
CentraleSupelec,3.0,,,,2.0,
AGH University of Science and Technology,4.0,,,,0.0,
Universiti Kebangsaan Malaysia,5.0,,,,12.0,
Beijing University of Posts and Telecommunications,6.0,,,,23.0,
Mahidol University,0.0,,,,3.0,
Intel,1.0,,,,5880.0,
Rutherford Appleton Laboratory,2.0,,,,0.0,
National University of Defense Technology,3.0,,,,4.0,
University of Tampere,4.0,,,,0.0,
University of Potsdam,5.0,,,,0.0,
University of Calabria,6.0,,,,0.0,
East China Normal University,7.0,,,,6.0,
U.S. Food and Drug Administration,8.0,,,,0.0,
Syracuse University,9.0,,,,22.0,
Brunel University,10.0,,,,14.0,
Beijing Jiaotong University,11.0,,,,6.0,
National Yang-Ming University,12.0,,,,30.0,
Cancer Research UK,13.0,,,,0.0,
University of Verona,14.0,,,,0.0,
University of Ferrara,0.0,,,,0.0,
Institut Pasteur Paris,1.0,,,,0.0,
Universitat Hannover,2.0,,,,11.0,
Ottawa Hospital Research Institute,3.0,,,,19.0,
University of Tartu,4.0,,,,7.0,
St. Petersburg State University,5.0,,,,1.0,
University of Texas at San Antonio,6.0,,,,0.0,
Georgia State University,7.0,,,,52.0,
Warsaw University of Technology,8.0,,,,4.0,
Universita Politecnica delle Marche,9.0,,,,3.0,
Universite de Nice-Sophia Antipolis,10.0,,,,14.0,
University of Canterbury,11.0,,,,1.0,
Hacettepe University,12.0,,,,0.0,
Clemson University,13.0,,,,41.0,
Jiangsu University,14.0,,,,20.0,
Medical University of Graz,0.0,,,,1.0,
Okayama University,1.0,,,,50.0,
Saint Louis University,2.0,,,,38.0,
Genentech Incorporated,0.0,,,,0.0,
University of Cagliari,1.0,,,,0.0,
Chiba University,2.0,,,,36.0,
University of Udine,3.0,,,,0.0,
Amirkabir University of Technology,4.0,,,,0.0,
Beijing University of Chemical Technology,5.0,,,,24.0,
University of Rostock,6.0,,,,0.0,
University of Messina,7.0,,,,0.0,
Auburn University,8.0,,,,41.0,
American Cancer Society,9.0,,,,0.0,
University of North Texas,10.0,,,,38.0,
John Radcliffe Hospital,11.0,,,,1.0,
"Indian Institute of Technology, Bombay",12.0,,,,21.0,
Austrian Academy of Sciences,13.0,,,,1.0,
University of Massachusetts Boston,14.0,,,,0.0,
Sandia National Laboratories NM,0.0,,,,0.0,
Wuhan University of Technology,1.0,,,,4.0,
Netherlands Cancer Institute,2.0,,,,0.0,
Ministry of Agriculture of the People's Republic of China,3.0,,,,0.0,
Novosibirsk State University,4.0,,,,0.0,
"Indian Institute of Technology, Kharagpur",5.0,,,,4.0,
Universita Roma Tre,6.0,,,,0.0,
University of Brescia,7.0,,,,1.0,
University of Tennessee Health Science Center,8.0,,,,0.0,
University of Tromso,9.0,,,,7.0,
Universite de Bourgogne,10.0,,,,21.0,
Otto-von-Guericke University Magdeburg,11.0,,,,0.0,
Smithsonian Institution,12.0,,,,1.0,
Chulalongkorn University,13.0,,,,5.0,
Nokia,14.0,,,,3842.0,
Martin-Luther-Universitat Halle-Wittenberg,0.0,,,,8.0,
Bar-Ilan University,1.0,,,,33.0,
Flanders Interuniversity Institute for Biotechnology,2.0,,,,1.0,
University of Navarra,3.0,,,,0.0,
Novartis,4.0,,,,1185.0,
Chonbuk National University,5.0,,,,36.0,
Rensselaer Polytechnic Institute,6.0,,,,81.0,
University of Jyvaskyla,7.0,,,,5.0,
Slovak Academy of Sciences,8.0,,,,0.0,
Sharif University of Technology,9.0,,,,0.0,
Bristol-Myers Squibb,10.0,,,,546.0,
Orta Dogu Technical University,11.0,,,,0.0,
Heriot-Watt University,12.0,,,,9.0,
Korea Institute of Science and Technology,13.0,,,,282.0,
Bhabha Atomic Research Centre,14.0,,,,0.0,
Brandeis University,0.0,,,,50.0,
Nanjing Agricultural University,1.0,,,,4.0,
San Diego State University,2.0,,,,16.0,
Technische Universitat Braunschweig,3.0,,,,7.0,
University of Kent,4.0,,,,6.0,
Open University Milton Keynes,5.0,,,,0.0,
University of Wisconsin-Milwaukee,6.0,,,,0.0,
