name,establishment_date,establishment_year,source_link,concerns,
National University of Defense Technology,"September 1, 1953",1953,https://en.wikipedia.org/wiki/National_University_of_Defense_Technology,1,
University of Leipzig,2 December 1409,1409,https://en.wikipedia.org/wiki/University_of_Leipzig,,
University of Central Florida,"June 10, 1963",1963,https://en.wikipedia.org/wiki/University_of_Central_Florida,1,
Beijing University of Posts and Telecommunications,1955,1955,https://en.wikipedia.org/wiki/Beijing_University_of_Posts_and_Telecommunications,1,
Friedrich-Schiller-Universitat Jena,1558,1558,https://en.wikipedia.org/wiki/Friedrich-Schiller-Universitat_Jena,,
"Rutgers - The State University of New Jersey, Newark","November 10, 1766",1766,https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Newark,,
Medical University of South Carolina,1824,1824,https://en.wikipedia.org/wiki/Medical_University_of_South_Carolina,,
University of Maine,1865,1865,https://en.wikipedia.org/wiki/University_of_Maine,,
Nanjing University of Science and Technology,"Founded in 1953, NUST has been resolving to create a brighter future.",1953,http://english.njust.edu.cn/,,
Lanzhou University,1909,1909,https://en.wikipedia.org/wiki/Lanzhou_University,,
Jawaharlal Nehru University,22 April 1969,1969,https://en.wikipedia.org/wiki/Jawaharlal_Nehru_University,1,
London School of Hygiene and Tropical Medicine,"1899 – London School of Tropical Medicine
1924 – London School of Hygiene & Tropical Medicine established by Royal Charter",1899,https://en.wikipedia.org/wiki/London_School_of_Hygiene_and_Tropical_Medicine,,
Universidad de Buenos Aires,1821,1821,https://en.wikipedia.org/wiki/Universidad_de_Buenos_Aires,,
Beijing University of Chemical Technology,1958,1958,https://en.wikipedia.org/wiki/Beijing_University_of_Chemical_Technology,1,
Universidade Estadual Paulista Julio de Mesquita Filho,1976,1976,https://en.wikipedia.org/wiki/Universidade_Estadual_Paulista_Julio_de_Mesquita_Filho,1,
Technische Universitat Braunschweig,1745,1745,https://en.wikipedia.org/wiki/Technische_Universitat_Braunschweig,,
Heinrich-Heine-University Dusseldorf,1965,1965,https://en.wikipedia.org/wiki/University_of_D%C3%BCsseldorf,1,
University of Perugia,1308,1308,https://en.wikipedia.org/wiki/University_of_Perugia,,
Thomas Jefferson University,"1825
(founded 1824)[1]",1825,https://en.wikipedia.org/wiki/Thomas_Jefferson_University,,
Universite de Rennes 1,1970,1970,https://en.wikipedia.org/wiki/Universite_de_Rennes_1,1,
University of Guelph,"May 8, 1964 (54 years ago)
As constituents:
OAC: 1874
Macdonald Institute: 1903
OVC: 1922",1964,https://en.wikipedia.org/wiki/University_of_Guelph,1,
University of Missouri at Kansas City,1933[1],1933,https://en.wikipedia.org/wiki/University_of_Missouri_at_Kansas_City,,
Clemson University,1889,1889,https://en.wikipedia.org/wiki/Clemson_University,,
Capital University of Medical Sciences,1960,1960,https://en.wikipedia.org/wiki/Capital_University_of_Medical_Sciences,1,
Jiangnan University,"Traced to 1902, established in 1958, reformed and renamed in 2001",1902,https://en.wikipedia.org/wiki/Jiangnan_University,,
University of Louisville,1798,1798,https://en.wikipedia.org/wiki/University_of_Louisville,,
University of Regensburg,1962,1962,https://en.wikipedia.org/wiki/University_of_Regensburg,1,
Brigham Young University,"October 16, 1875; 142 years ago",1875,https://en.wikipedia.org/wiki/Brigham_Young_University,,
University of Massachusetts Medical School,1962,1962,https://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School,1,
Peking Union Medical College,1917,1917,https://en.wikipedia.org/wiki/Peking_Union_Medical_College,,
Medical College of Wisconsin,"1893, 125 years ago",1893,https://en.wikipedia.org/wiki/Medical_College_of_Wisconsin,,
