Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
University of Zurich,,,,58,application/json,University of Zurich,che,EUR,academic,306016,Switzerland
Hadassah University Medical Centre,,,,59,application/json,Hadassah University Medical Centre,isr,MEA,medical,701392,Israel
Ludwig-Maximilians-University Munchen,,,,59,application/json,Ludwig-Maximilians-University Munchen,deu,EUR,academic,309086,Germany
Rockefeller University,1901,https://en.wikipedia.org/wiki/Rockefeller_University,,60,application/json,Rockefeller University,usa,NAM,academic,508196,United States
Icahn School of Medicine at Mount Sinai (ISMMS),1963,https://en.wikipedia.org/wiki/Icahn_School_of_Medicine_at_Mount_Sinai,1,60,application/json,,usa,NAM,academic,508130,United States
Hebrew University of Jerusalem,,,,61,application/json,Hebrew University of Jerusalem,isr,MEA,academic,403004,Israel
Jiangsu University,,,,61,application/json,Jiangsu University,chn,APAC,academic,203108,China
University of Oslo,,,,62,application/json,University of Oslo,nor,EUR,academic,326007,Norway
Johannes Kepler University of Linz,,,,62,application/json,Johannes Kepler University of Linz,aut,EUR,academic,301003,Austria
Shanghai Jiao Tong University,,,,63,application/json,Shanghai Jiao Tong University,chn,APAC,academic,203168,China
Kangwon National University,,,,63,application/json,Kangwon National University,kor,APAC,academic,209032,South Korea
University of Maryland,,,,64,application/json,University of Maryland,usa,NAM,academic,508292,United States
"St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO)",,,,64,application/json,,rus,EUR,academic,700881,Russian Federation
Universita Politecnica delle Marche,,,,65,application/json,Universita Politecnica delle Marche,ita,EUR,academic,321034,Italy
University of Western Australia,,,,65,application/json,University of Western Australia,aus,APAC,academic,201035,Australia
Universita del Piemonte Orientale,,,,66,application/json,Universita del Piemonte Orientale,ita,EUR,academic,321027,Italy
National University of Singapore,,,,66,application/json,National University of Singapore,sgp,APAC,academic,215004,Singapore
Universite de Nice-Sophia Antipolis,,,,67,application/json,Universite de Nice-Sophia Antipolis,fra,EUR,academic,314058,France
Zhejiang University,,,,67,application/json,Zhejiang University,chn,APAC,academic,203243,China
Universite de Strasbourg,,,,68,application/json,Universite de Strasbourg,fra,EUR,academic,314083,France
Peking University,,,,68,application/json,Peking University,chn,APAC,academic,203152,China
University of Sydney,,,,69,application/json,University of Sydney,aus,APAC,academic,201032,Australia
University of Nottingham,,,,70,application/json,University of Nottingham,gbr,EUR,academic,315090,United Kingdom
University Medical Center Hamburg-Eppendorf,,,,70,,,,,,,
Wroclaw Medical University,,,,71,application/json,Wroclaw Medical University,pol,EUR,academic,327039,Poland
"Rutgers - The State University of New Jersey, New Brunswick","‘November 10, 1766",https://en.wikipedia.org/wiki/Rutgers_University,,71,application/json,"Rutgers - The State University of New Jersey, New Brunswick",usa,NAM,academic,508201,United States
Nanyang Polytechnic,,,,72,application/json,Nanyang Polytechnic,sgp,APAC,academic,706731,Singapore
University of Heidelberg,,,,72,application/json,University of Heidelberg,deu,EUR,academic,309076,Germany
Far East University,,,,73,application/json,Far East University,twn,APAC,academic,704849,Taiwan
University of Queensland,,,,73,application/json,University of Queensland,aus,APAC,academic,201029,Australia
Universidad Militar Nueva Granada,,,,74,application/json,Universidad Militar Nueva Granada,col,SAM,academic,700984,Colombia
University of Utah,,,,74,application/json,University of Utah,usa,NAM,academic,508355,United States
Universidad Pontificia Bolivariana,,,,75,application/json,Universidad Pontificia Bolivariana,col,SAM,academic,700971,Colombia
KU Leuven,,,,75,application/json,KU Leuven,bel,EUR,academic,303008,Belgium
University of the Ryukyus,,,,76,application/json,University of the Ryukyus,jpn,APAC,academic,208178,Japan
Nanyang Technological University,,,,76,application/json,Nanyang Technological University,sgp,APAC,academic,215003,Singapore
University of Warwick,,,,77,application/json,University of Warwick,gbr,EUR,academic,315110,United Kingdom
Nelson Mandela Metropolitan University,,,,77,,,,,,,
University of Alaska Anchorage,,,,78,application/json,University of Alaska Anchorage,usa,NAM,academic,508738,United States
Chinese University of Hong Kong,,,,78,application/json,Chinese University of Hong Kong,hkg,APAC,academic,205001,Hong Kong
China University of Petroleum (East China),,,,79,application/json,,chn,APAC,academic,705405,China
McMaster University,,,,79,application/json,McMaster University,can,NAM,academic,501017,Canada
Fukushima University,,,,80,application/json,Fukushima University,jpn,APAC,academic,702977,Japan
Universite Libre de Bruxelles,,,,80,application/json,Universite Libre de Bruxelles,bel,EUR,academic,303010,Belgium
Hanbat National University,,,,81,application/json,Hanbat National University,kor,APAC,academic,209023,South Korea
University of Basel,,,,81,application/json,University of Basel,che,EUR,academic,306011,Switzerland
Hefei University,,,,82,application/json,Hefei University,chn,APAC,academic,704897,China
Pennsylvania State University,,,,82,application/json,Pennsylvania State University,usa,NAM,academic,508186,United States
Radboud University Nijmegen,,,,83,application/json,Radboud University Nijmegen,nld,EUR,academic,325010,Netherlands
Mercer University,,,,83,application/json,Mercer University,usa,NAM,academic,508120,United States
North Carolina Central University,,,,84,application/json,North Carolina Central University,usa,NAM,academic,508617,United States
Seoul National University,,,,84,application/json,Seoul National University,kor,APAC,academic,209063,South Korea
Osaka Electro-Communication University,,,,85,application/json,Osaka Electro-Communication University,jpn,APAC,academic,208122,Japan
Universidade de Sao Paulo,,,,85,application/json,Universidade de Sao Paulo,bra,SAM,academic,602049,Brazil
Korea University of Technology and Education,,,,86,application/json,Korea University of Technology and Education,kor,APAC,academic,209107,South Korea
Erasmus University Rotterdam,,,,86,application/json,Erasmus University Rotterdam,nld,EUR,academic,325003,Netherlands
CPE Lyon,,,,87,application/json,CPE Lyon,fra,EUR,academic,314150,France
Lund University,,,,87,application/json,Lund University,swe,EUR,academic,332007,Sweden
Temasek Polytechnic,,,,88,application/json,Temasek Polytechnic,sgp,APAC,academic,704807,Singapore
Case Western Reserve University,,,,88,application/json,Case Western Reserve University,usa,NAM,academic,508032,United States
Universite des Antilles et de la Guyane,,,,89,application/json,Universite des Antilles et de la Guyane,fra,EUR,academic,314309,France
Arizona State University,,,,89,application/json,Arizona State University,usa,NAM,academic,508006,United States
Uppsala University,,,,90,application/json,Uppsala University,swe,EUR,academic,332018,Sweden
Wakayama University,,,,90,application/json,Wakayama University,jpn,APAC,academic,208186,Japan
Nagoya University,,,,91,application/json,Nagoya University,jpn,APAC,academic,208093,Japan
Hanseo University,,,,91,application/json,Hanseo University,kor,APAC,academic,209088,South Korea
Jeonju University,,,,92,application/json,Jeonju University,kor,APAC,academic,209092,South Korea
Monash University,,,,92,application/json,Monash University,aus,APAC,academic,201015,Australia
Kanazawa Institute of Technology,,,,93,application/json,Kanazawa Institute of Technology,jpn,APAC,academic,208058,Japan
University of Amsterdam,,,,93,application/json,University of Amsterdam,nld,EUR,academic,325012,Netherlands
Korea Maritime University,,,,94,application/json,Korea Maritime University,kor,APAC,academic,209044,South Korea
University of New South Wales,,,,94,application/json,University of New South Wales,aus,APAC,academic,201027,Australia
Pontificia Universidad Catolica del Peru,,,,95,application/json,Pontificia Universidad Catolica del Peru,per,SAM,academic,701182,Peru
Goethe University Frankfurt,,,,95,application/json,Goethe University Frankfurt,deu,EUR,academic,309071,Germany
University of Tubingen,,,,96,application/json,University of Tubingen,deu,EUR,academic,309094,Germany
Tuskegee University,,,,96,application/json,Tuskegee University,usa,NAM,academic,508240,United States
Boston University,,,,97,application/json,Boston University,usa,NAM,academic,508013,United States
Universidad de Antioquia,,,,97,application/json,Universidad de Antioquia,col,SAM,academic,604001,Colombia
Chengdu University,,,,98,application/json,Chengdu University,chn,APAC,academic,704022,China
University of California at Davis,,,,98,application/json,University of California at Davis,usa,NAM,academic,508260,United States
Dongseo University,,,,99,application/json,Dongseo University,kor,APAC,academic,209081,South Korea
Norwegian University of Science and Technology,,,,99,application/json,Norwegian University of Science and Technology,nor,EUR,academic,326005,Norway
Hannam University,,,,100,application/json,Hannam University,kor,APAC,academic,209024,South Korea
University of Sheffield,,,,100,application/json,University of Sheffield,gbr,EUR,academic,315096,United Kingdom
Tokyo Institute of Technology,,,,101,application/json,Tokyo Institute of Technology,jpn,APAC,academic,208154,Japan
Institut Pasteur Korea,,,,101,application/json,Institut Pasteur Korea,kor,APAC,academic,701487,South Korea
Thiagarajar College of Engineering,,,,102,application/json,Thiagarajar College of Engineering,ind,APAC,academic,207161,India
Emory University,,,,102,application/json,Emory University,usa,NAM,academic,508059,United States
Universidad Nacional de Quilmes,,,,103,application/json,Universidad Nacional de Quilmes,arg,SAM,academic,704800,Argentina
Brown University,,,,103,application/json,Brown University,usa,NAM,academic,508018,United States
Ghent University,,,,104,application/json,Ghent University,bel,EUR,academic,303004,Belgium
Bradley University,,,,104,application/json,Bradley University,usa,NAM,academic,508422,United States
University of Alberta,,,,105,application/json,University of Alberta,can,NAM,academic,501035,Canada
Carl Zeiss SMT AG,,,,105,application/json,Carl Zeiss SMT AG,deu,EUR,corporate,309110,Germany
University of Florida,,,,106,application/json,University of Florida,usa,NAM,academic,508279,United States
Hiroshima City University,,,,106,application/json,Hiroshima City University,jpn,APAC,academic,208214,Japan
Kyungnam University,,,,107,application/json,Kyungnam University,kor,APAC,academic,209054,South Korea
Leiden University,,,,107,application/json,Leiden University,nld,EUR,academic,325005,Netherlands
